iter	Accuracy	Logloss
553	0.8723089565	0.3006366952
554	0.872473295	0.3005056704
555	0.8723089565	0.3004115224
556	0.8721446179	0.3002956844
557	0.8723089565	0.3002339313
558	0.8723089565	0.300016432
559	0.8723089565	0.2999868027
560	0.8723089565	0.2999513153
561	0.872473295	0.2997825376
562	0.8726376335	0.2996435231
563	0.8728019721	0.2995005727
564	0.8729663106	0.2993136828
565	0.8731306491	0.2992217442
566	0.8731306491	0.2991154202
567	0.8731306491	0.2990235107
568	0.8728019721	0.2988971468
569	0.8726376335	0.2988181115
570	0.8726376335	0.2987363485
571	0.8728019721	0.2986833436
572	0.8728019721	0.2985011162
573	0.8729663106	0.2984086181
574	0.8729663106	0.29833461
575	0.8729663106	0.2982187016
576	0.8732949877	0.2980315874
577	0.8729663106	0.2979422604
578	0.8731306491	0.2978578117
579	0.8731306491	0.2976746994
580	0.8731306491	0.297574248
581	0.8731306491	0.2975633669
582	0.8731306491	0.297510209
583	0.8732949877	0.2974777676
584	0.8732949877	0.2973575135
585	0.8734593262	0.2972073052
586	0.8734593262	0.2971897109
587	0.8736236647	0.2970523457
588	0.8734593262	0.2969716608
589	0.8736236647	0.2968279125
590	0.8741166804	0.2967618636
591	0.8739523418	0.2966658894
592	0.8741166804	0.2965341878
593	0.8742810189	0.2964057343
594	0.8739523418	0.2963582831
595	0.8741166804	0.2962915521
596	0.8742810189	0.296126717
597	0.8754313887	0.295793306
598	0.8754313887	0.2957896293
599	0.8754313887	0.2956503585
600	0.8760887428	0.2953839347
601	0.8762530813	0.2953394423
602	0.8765817584	0.2952813116
603	0.8765817584	0.2949220833
604	0.8765817584	0.2948620377
605	0.8762530813	0.2947169076
606	0.8764174199	0.2945981744
607	0.8762530813	0.2945586298
608	0.8764174199	0.2943690617
609	0.8769104355	0.29419597
610	0.8762530813	0.2939937554
611	0.8765817584	0.2939009041
612	0.876746097	0.2937257338
613	0.876746097	0.293692991
614	0.8765817584	0.2936315822
615	0.877074774	0.2935712223
616	0.8769104355	0.2934756814
617	0.8777321282	0.2932851152
618	0.8774034511	0.2930288932
619	0.877074774	0.2928563178
620	0.8769104355	0.2927627243
621	0.8775677896	0.2925513716
622	0.8772391126	0.2924335556
623	0.8772391126	0.2922345631
624	0.8780608053	0.2919924592
625	0.8780608053	0.291935813
626	0.8778964667	0.2918642954
627	0.8783894823	0.2917153619
628	0.8783894823	0.291709142
629	0.8783894823	0.2915995303
630	0.8785538209	0.2914284722
631	0.8790468365	0.291282833
632	0.8788824979	0.2911064405
